"郑州商品交易所期货持仓排名表(2019-11-18)","","","","","","","","",""
"品种：苹果AP     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"19","申银万国","887","69","广州期货","954","81","招商期货","1,208","38"
"20","东方财富","885","304","中信建投","906","401","东航期货","1,179","44"
"合计","","40,970","9,400","","60,071","3,663","","40,828","2,180"
"合约：FG912     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","永安期货","15","12","光大期货","1,008","0","光大期货","1,003","0"
"2","华泰期货","11","11","兴证期货","900","0","兴证期货","900","0"
"3","大地期货","11","6","中原期货","390","0","中原期货","390","0"
"4","华安期货","10","10","永安期货","343","-15","永安期货","232","0"
"5","方正中期","8","4","华鑫期货","1","1","海通期货","40","-3"
"6","海通期货","7","7","-","-","-","华创期货","15","0"
"7","国投安信期货","3","-1","-","-","-","中信期货","9","0"
"8","广发期货","2","2","-","-","-","东证期货","7","0"
"9","国泰君安","2","-1","-","-","-","宝城期货","6","1"
"10","宝城期货","1","1","-","-","-","国元期货","6","0"
"11","华鑫期货","1","0","-","-","-","华泰期货","5","-11"
"12","中衍期货","1","0","-","-","-","国信期货","5","0"
"13","-","-","-","-","-","-","国泰君安","4","0"
"14","-","-","-","-","-","-","招商期货","2","0"
"15","-","-","-","-","-","-","申银万国","2","0"
"16","-","-","-","-","-","-","银河期货","2","0"
"17","-","-","-","-","-","-","广发期货","2","0"
"18","-","-","-","-","-","-","国海良时","2","0"
"19","-","-","-","-","-","-","东方财富","2","0"
"20","-","-","-","-","-","-","国投安信期货","1","-3"
"合计","","72","51","","2,642","-14","","2,635","-16"
"合约：JR001     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","-","-","-","汇鑫期货","2","0","东航期货","2","0"
"合计","","0","0","","2","0","","2","0"
"合约：LR001     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","-","-","-","中辉期货","1","0","天风期货","1","0"
"合计","","0","0","","1","0","","1","0"
"合约：MA001     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东证期货","230,428","-35,471","东证期货","71,092","-16,185","永安期货","156,353","-2,953"
"2","华泰期货","95,027","-20,010","华泰期货","35,055","8,027","东证期货","66,610","-11,119"
"3","国泰君安","60,974","-25,614","华安期货","27,751","1,522","华泰期货","56,709","2,450"
"4","海通期货","56,239","-26,753","国泰君安","27,225","616","中信期货","47,400","-6,685"
"5","中信期货","55,395","-22,347","中信期货","25,180","-6,516","一德期货","36,817","9,268"
"6","光大期货","55,236","-19,503","永安期货","24,363","1,025","海通期货","36,419","-4,464"
"7","新湖期货","47,991","-41,375","徽商期货","24,333","-201","国投安信期货","28,076","-2,174"
"8","东方财富","46,850","-35,928","东方财富","22,059","179","国泰君安","26,687","-1,908"
"9","永安期货","44,702","-1,628","银河期货","20,795","-825","银河期货","23,064","1,079"
"10","徽商期货","42,585","-31,311","海通期货","20,620","-6,199","中粮期货","20,411","-87"
"11","中辉期货","41,790","-10,002","新湖期货","18,655","-12,155","兴证期货","15,963","830"
"12","东吴期货","38,683","-9,252","方正中期","18,259","-181","新湖期货","15,193","-12,148"
"13","华安期货","33,842","-16,427","国投安信期货","18,024","-515","混沌天成期货","14,522","114"
"14","国贸期货","32,565","-4,308","光大期货","18,013","-12,417","东吴期货","13,967","-1,917"
"15","上海大陆","29,689","-3,124","广发期货","17,848","-219","中财期货","13,184","1,351"
"16","申银万国","28,609","-12,870","中信建投","16,627","100","方正中期","12,830","2,039"
"17","方正中期","26,742","-17,325","申银万国","16,319","125","东方财富","12,369","361"
"18","安粮期货","25,269","-1,927","新纪元期货","15,686","518","国富期货","11,591","-354"
"19","一德期货","25,023","-24,163","中辉期货","15,581","-661","国贸期货","11,037","243"
"20","华闻期货","23,673","-6,732","国贸期货","14,368","-290","东海期货","10,958","-3,430"
"合计","","1,041,312","-366,070","","467,853","-44,252","","630,160","-29,504"
"合约：MA003     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","中粮期货","6,450","-799","东证期货","4,573","-305","东证期货","4,562","-311"
"2","东证期货","1,780","-2,177","创元期货","2,004","1","创元期货","2,005","2"
"3","新湖期货","970","180","中原期货","1,411","-2","中原期货","1,404","-2"
"4","锦泰期货","923","-279","锦泰期货","1,363","383","锦泰期货","1,335","382"
"5","浙商期货","869","-86","中粮期货","1,280","670","中粮期货","1,208","658"
"6","恒泰期货","832","-1,817","恒泰期货","1,064","-43","恒泰期货","1,063","-47"
"7","东吴期货","606","-16","上海中期","1,005","0","上海中期","1,000","0"
"8","大有期货","553","-299","国投安信期货","814","-10","国投安信期货","813","-1"
"9","东海期货","491","244","兴证期货","704","0","申银万国","752","45"
"10","国投安信期货","441","-296","申银万国","675","45","兴证期货","700","0"
"11","永安期货","440","123","中大期货","615","0","浙商期货","532","192"
"12","冠通期货","387","-485","光大期货","551","-71","信达期货","510","0"
"13","方正中期","350","-405","方正中期","509","99","光大期货","439","-72"
"14","国联期货","338","-142","中信期货","437","-4","大有期货","412","0"
"15","大地期货","335","-415","大有期货","409","-1","中信期货","405","-7"
"16","中原期货","320","197","大地期货","359","-2","永安期货","404","0"
"17","宏源期货","318","-332","浙商期货","359","-1","大地期货","352","-3"
"18","首创期货","258","247","东吴期货","269","-2","方正中期","350","-3"
"19","光大期货","143","-122","国都期货","240","0","中大期货","350","0"
"20","中信期货","133","-79","新湖期货","236","-65","新湖期货","304","-75"
"合计","","16,937","-6,758","","18,877","692","","18,900","758"
"合约：MA005     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东吴期货","7,775","-1,191","永安期货","15,194","-2,265","国泰君安","10,969","2,287"
"2","东证期货","7,584","-4,352","一德期货","8,451","147","浙商期货","9,457","52"
"3","新湖期货","7,090","570","鲁证期货","7,715","293","永安期货","8,983","106"
"4","东海期货","6,957","1,073","东证期货","6,227","423","国投安信期货","8,546","-160"
"5","华泰期货","6,548","-3,212","国投安信期货","5,977","-2","中信期货","8,369","33"
"6","国泰君安","5,084","-6,924","广发期货","5,371","105","华联期货","6,954","-3"
"7","永安期货","4,521","-551","申银万国","5,089","302","华泰期货","6,403","-507"
"8","徽商期货","4,482","-412","东海期货","4,849","-2,619","方正中期","5,450","528"
"9","方正中期","2,950","160","中信期货","4,660","56","银河期货","5,320","138"
"10","华安期货","2,899","-1,607","光大期货","4,587","297","招商期货","5,315","-73"
"11","光大期货","2,518","-2,051","安粮期货","4,304","123","弘业期货","4,898","-18"
"12","山西三立","2,044","-1,377","徽商期货","3,909","127","信达期货","4,709","41"
"13","一德期货","1,829","-7,007","华泰期货","3,648","-229","东证期货","4,682","279"
"14","申银万国","1,821","62","国泰君安","3,632","-257","前海期货","4,669","0"
"15","平安期货","1,747","-1,046","平安期货","3,567","-217","一德期货","4,514","708"
"16","弘业期货","1,723","-365","银河期货","3,448","-75","东海期货","4,412","-1,558"
"17","中财期货","1,618","387","方正中期","3,354","116","新湖期货","4,269","645"
"18","东方财富","1,592","-1,328","华安期货","3,213","518","东吴期货","4,096","24"
"19","海通期货","1,572","299","中粮期货","3,078","223","五矿经易期货","4,034","-212"
"20","冠通期货","1,363","-1,042","弘业期货","3,047","279","安粮期货","3,394","19"
"合计","","73,717","-29,914","","103,320","-2,655","","119,443","2,329"
"合约：MA912     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","申银万国","6","6","弘业期货","400","0","弘业期货","400","0"
"2","德盛期货","5","4","中信期货","8","0","浙商期货","20","0"
"3","东证期货","1","1","中大期货","5","0","国海良时","2","0"
"4","-","-","-","国贸期货","3","0","-","-","-"
"5","-","-","-","华信期货","2","0","-","-","-"
"6","-","-","-","东证期货","2","-1","-","-","-"
"7","-","-","-","混沌天成期货","1","0","-","-","-"
"8","-","-","-","德盛期货","1","1","-","-","-"
"合计","","12","11","","422","0","","422","0"
"合约：OI001     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东证期货","36,811","-6,067","东证期货","5,618","91","中粮期货","17,631","425"
"2","新湖期货","23,570","6,777","建信期货","5,279","59","国投安信期货","12,360","-3,864"
"3","海通期货","13,476","1,990","一德期货","4,817","-1,119","中信期货","8,417","477"
"4","华西期货","11,708","514","中信期货","4,815","-126","安粮期货","7,238","-123"
"5","中信期货","10,445","148","华泰期货","4,626","199","东证期货","5,409","8"
"6","华泰期货","9,923","534","中信建投","4,577","161","摩根大通","5,113","311"
"7","光大期货","9,823","619","永安期货","4,144","118","中国国际","4,285","-398"
"8","东吴期货","7,105","2,622","兴证期货","4,055","398","信达期货","4,267","-210"
"9","国投安信期货","6,517","3,970","申银万国","4,011","-1,261","中信建投","4,110","11"
"10","华安期货","6,362","526","南华期货","3,820","-1,098","上海中期","3,965","648"
"11","徽商期货","6,102","906","国富期货","3,634","-3,322","光大期货","3,373","365"
"12","国富期货","5,791","3,440","中融汇信","3,245","-17","兴证期货","3,258","-442"
"13","兴证期货","5,670","2,593","银河期货","3,198","238","首创期货","2,936","-46"
"14","平安期货","5,146","3,632","华安期货","3,110","-460","华泰期货","2,410","222"
"15","上海中期","4,934","489","华闻期货","2,899","4","渤海期货","1,880","471"
"16","东方财富","4,670","1,200","中金期货","2,542","68","先锋期货","1,782","-95"
"17","国金期货","4,427","1,909","海通期货","2,432","719","新湖期货","1,350","151"
"18","南华期货","3,568","2,606","摩根大通","2,427","0","西部期货","1,099","-50"
"19","中辉期货","3,277","1,029","西部期货","2,383","-639","方正中期","1,085","308"
"20","一德期货","3,246","1,188","光大期货","2,266","-118","东方财富","1,042","428"
"合计","","182,571","30,625","","73,898","-6,105","","93,010","-1,403"
"合约：OI005     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东证期货","6,065","699","华泰期货","2,637","-196","中粮期货","9,576","-81"
"2","华泰期货","4,342","1,041","永安期货","2,624","-343","中信期货","2,990","418"
"3","上海中期","3,813","1,191","中粮期货","2,506","620","华泰期货","2,831","-136"
"4","国金期货","3,598","1,409","西部期货","2,070","-2","兴证期货","2,588","-197"
"5","新湖期货","2,840","482","银河期货","2,010","31","上海中期","1,964","-591"
"6","永安期货","2,465","1,981","国泰君安","1,940","-8","摩根大通","1,818","0"
"7","中信期货","2,045","-1,330","国富期货","1,845","68","申银万国","1,308","147"
"8","国元期货","1,560","19","申银万国","1,560","64","光大期货","1,244","-92"
"9","兴证期货","1,539","884","建信期货","1,385","1,006","新湖期货","1,155","0"
"10","金瑞期货","1,280","229","中信期货","1,151","253","徽商期货","1,093","0"
"11","光大期货","1,229","-550","一德期货","1,143","-18","首创京都期货","1,038","0"
"12","渤海期货","1,178","1,169","方正中期","1,080","735","先锋期货","825","-2"
"13","方正中期","1,156","639","长安期货","1,040","7","浙商期货","822","328"
"14","建信期货","1,144","1,065","中财期货","866","1","美尔雅","783","247"
"15","国投安信期货","1,053","589","弘业期货","839","-20","中原期货","770","-8"
"16","徽商期货","1,032","-53","中原期货","807","4","兴业期货","751","-46"
"17","中辉期货","904","453","光大期货","725","47","方正中期","445","-13"
"18","申银万国","891","-503","上海中期","688","-312","安粮期货","430","252"
"19","中粮期货","861","799","海证期货","499","55","国联期货","427","8"
"20","浙商期货","846","753","宏源期货","490","170","西部期货","403","0"
"合计","","39,841","10,966","","27,905","2,162","","33,261","234"
"合约：RM001     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东证期货","95,940","-51,786","永安期货","17,259","-1,421","中粮期货","17,019","12"
"2","新湖期货","66,146","-9,348","广发期货","8,169","-31","中信期货","16,190","-1,098"
"3","华泰期货","62,690","-2,566","申银万国","7,148","-57","广发期货","7,942","-291"
"4","华西期货","44,930","2,520","中信期货","7,067","-294","光大期货","7,650","839"
"5","兴证期货","36,508","-1,127","徽商期货","4,727","-370","海通期货","6,762","52"
"6","海通期货","36,254","1,502","海通期货","4,690","-810","东证期货","5,687","738"
"7","光大期货","33,019","-5,376","方正中期","4,081","582","国泰君安","5,658","289"
"8","徽商期货","27,620","160","上海中期","4,077","55","兴证期货","5,418","-663"
"9","中信期货","26,684","904","东兴期货","3,841","33","宏源期货","5,368","-622"
"10","华安期货","19,605","-787","华安期货","3,794","-1,171","华泰期货","5,304","675"
"11","东方财富","18,937","3,593","国投安信期货","3,668","143","鲁证期货","3,987","268"
"12","国泰君安","17,900","1,132","东证期货","3,591","-326","永安期货","3,019","-1,065"
"13","东吴期货","17,521","3,458","国泰君安","3,343","-107","摩根大通","2,826","400"
"14","中信建投","12,578","3,079","华泰期货","3,141","-1,013","中国国际","2,690","-800"
"15","永安期货","11,522","4,156","宏源期货","3,017","315","一德期货","2,668","1"
"16","冠通期货","10,497","1,893","长江期货","2,963","-675","东吴期货","2,644","2,082"
"17","广发期货","10,462","-6,370","南华期货","2,948","164","新湖期货","2,571","-1,235"
"18","宏源期货","9,497","1,653","海证期货","2,914","-176","东兴期货","2,506","148"
"19","方正中期","9,270","2,034","中粮期货","2,842","458","银河期货","2,499","-104"
"20","长江期货","9,121","427","鲁证期货","2,807","83","国投安信期货","2,454","242"
"合计","","576,701","-50,849","","96,087","-4,618","","110,862","-132"
"合约：RM005     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东证期货","12,546","-8,243","安粮期货","8,958","88","中粮期货","23,008","159"
"2","华泰期货","9,901","-4,021","国投安信期货","7,384","42","中信期货","11,095","540"
"3","华西期货","6,602","-1,768","大地期货","6,241","12","永安期货","9,802","652"
"4","光大期货","6,552","-1,543","华泰期货","5,741","126","申银万国","7,512","-110"
"5","新湖期货","6,512","-164","南华期货","5,437","305","华泰期货","6,519","435"
"6","冠通期货","6,125","1,820","中粮期货","4,500","-179","国投安信期货","5,845","205"
"7","锦泰期货","4,841","905","美尔雅","3,360","129","光大期货","4,452","46"
"8","华安期货","4,583","1,728","东证期货","3,357","21","国泰君安","4,211","-17"
"9","徽商期货","4,337","-101","永安期货","2,905","5","东兴期货","3,702","-2"
"10","国元期货","3,968","935","国富期货","2,897","69","中金期货","3,356","878"
"11","平安期货","3,789","786","长江期货","2,524","-6","天风期货","2,838","10"
"12","中信期货","3,726","-5","方正中期","2,335","-46","中国国际","2,663","-17"
"13","海通期货","3,292","-617","国泰君安","2,262","-375","首创期货","2,392","-9"
"14","国泰君安","3,240","-66","浙商期货","2,188","26","兴证期货","2,336","-171"
"15","广发期货","3,218","-5,948","徽商期货","2,172","391","摩根大通","1,944","0"
"16","美尔雅","2,474","-294","广发期货","2,109","-216","上海中期","1,905","-9"
"17","国投安信期货","2,281","-3,546","宏源期货","2,104","-110","宏源期货","1,533","-344"
"18","宏源期货","2,278","-314","弘业期货","1,948","22","方正中期","1,517","233"
"19","东航期货","2,219","16","中辉期货","1,800","274","国信期货","1,398","-27"
"20","安粮期货","2,090","-1,224","海证期货","1,603","80","信达期货","1,308","1,274"
"合计","","94,574","-21,664","","71,825","658","","99,336","3,726"
"合约：RM009     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","国元期货","3,691","1,541","徽商期货","2,301","-3","华泰期货","1,641","-13"
"2","华安期货","1,415","853","华安期货","1,777","-316","中衍期货","1,602","1"
"3","倍特期货","636","63","中衍期货","1,666","-25","南华期货","930","-7"
"4","安粮期货","620","560","安粮期货","681","566","瑞达期货","851","-298"
"5","长城期货","543","372","中信期货","633","40","国投安信期货","697","0"
"6","徽商期货","495","136","华泰期货","571","2","中辉期货","676","6"
"7","东航期货","486","-74","宏源期货","548","61","美尔雅","648","-15"
"8","中投天琪","472","-241","金石期货","505","2","东证期货","640","0"
"9","瑞达期货","317","206","东吴期货","444","-6","新湖期货","587","176"
"10","广发期货","267","232","第一创业","438","-79","国富期货","583","-22"
"11","国金期货","254","-120","新湖期货","414","-7","弘业期货","541","-1"
"12","锦泰期货","227","80","中国国际","372","4","东吴期货","403","13"
"13","中信期货","205","73","浙商期货","369","-70","海证期货","374","4"
"14","国投安信期货","201","31","永安期货","367","-7","长江期货","365","-35"
"15","中电投先融","199","180","东航期货","363","-15","华鑫期货","338","0"
"16","招金期货","191","-75","上海大陆","301","-49","广州金控","324","-9"
"17","新湖期货","185","158","申银万国","289","12","国泰君安","310","0"
"18","浙商期货","184","20","银河期货","219","57","广发期货","302","-78"
"19","海证期货","181","-277","大越期货","189","-5","长城期货","273","273"
"20","中国国际","173","-189","弘业期货","185","53","倍特期货","252","0"
"合计","","10,942","3,529","","12,632","215","","12,337","-5"
"合约：RS007     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","美尔雅","3","1","鲁证期货","3","0","中信建投","3","0"
"2","国元期货","2","2","招商期货","1","1","银河期货","1","0"
"3","招商期货","1","1","徽商期货","1","0","海通期货","1","-1"
"4","海通期货","1","1","光大期货","1","0","东证期货","1","0"
"5","国都期货","1","0","-","-","-","-","-","-"
"合计","","8","5","","6","1","","6","-1"
"合约：SF001     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","中信期货","9,839","4,274","国投安信期货","9,766","-1,789","摩根大通","5,545","-545"
"2","新湖期货","8,245","4,584","中信期货","5,435","-2,184","中信期货","4,124","-781"
"3","东证期货","6,280","2,709","弘业期货","4,394","-2,312","国投安信期货","3,686","281"
"4","弘业期货","4,262","1,781","华信期货","4,063","-13","东证期货","2,991","-926"
"5","浙商期货","4,117","3,611","国泰君安","2,026","240","兴业期货","2,778","2,399"
"6","国投安信期货","3,500","2,061","光大期货","1,954","-255","银河期货","2,741","-220"
"7","兴证期货","3,479","2,035","兴证期货","1,565","443","永安期货","2,415","60"
"8","东吴期货","2,960","1,460","东吴期货","1,422","1,204","弘业期货","1,983","96"
"9","华泰期货","2,903","1,376","海通期货","1,343","283","国泰君安","1,944","-483"
"10","兴业期货","2,668","2,414","东证期货","1,334","14","华泰期货","1,857","-950"
"11","海通期货","2,459","441","华泰期货","1,207","-11","兴证期货","1,453","-1,248"
"12","光大期货","2,386","1,820","宏源期货","1,190","693","南华期货","1,349","44"
"13","南华期货","2,261","1,542","广发期货","1,185","-90","一德期货","1,313","721"
"14","申银万国","2,172","-126","上海中期","1,103","311","方正中期","1,301","-546"
"15","宏源期货","2,118","1,527","南华期货","1,078","135","中金期货","1,234","-8"
"16","国泰君安","2,115","748","国联期货","960","-928","国信期货","1,217","-380"
"17","徽商期货","2,109","1,090","格林大华期货","914","-397","中信建投","1,186","-78"
"18","国联期货","1,642","1,409","神华期货","870","-446","国富期货","909","-57"
"19","永安期货","1,612","-335","天风期货","829","-471","中财期货","878","-120"
"20","方正中期","1,502","714","华安期货","699","80","宏源期货","829","-1,039"
"合计","","68,629","35,135","","43,337","-5,493","","41,733","-3,780"
"合约：SF005     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","一德期货","559","472","国投安信期货","1,912","-52","中信期货","1,783","196"
"2","中信期货","437","121","中信期货","1,617","-197","国投安信期货","1,490","35"
"3","东吴期货","405","178","华泰期货","1,116","-1","华泰期货","1,172","-18"
"4","新湖期货","345","246","中原期货","896","0","中原期货","926","-9"
"5","永安期货","296","257","申银万国","816","275","申银万国","450","10"
"6","申银万国","293","110","一德期货","448","339","徽商期货","433","-14"
"7","五矿经易期货","171","169","华信期货","394","-88","弘业期货","400","23"
"8","弘业期货","157","116","五矿经易期货","334","-150","东吴期货","354","6"
"9","中辉期货","148","90","东吴期货","261","45","华金期货","246","0"
"10","国联期货","143","143","浙商期货","259","61","中辉期货","196","-145"
"11","大有期货","134","129","弘业期货","255","-106","永安期货","180","92"
"12","恒泰期货","114","77","华金期货","216","0","华安期货","179","-8"
"13","国投安信期货","107","84","徽商期货","213","-1","方正中期","151","-2"
"14","华信期货","104","94","永安期货","178","-6","长城期货","130","0"
"15","华泰期货","95","-21","广发期货","171","-48","东航期货","120","-34"
"16","银河期货","87","27","天风期货","100","0","德盛期货","105","4"
"17","上海大陆","84","27","宏源期货","97","15","兴证期货","105","-66"
"18","先锋期货","77","42","银河期货","82","2","先锋期货","89","73"
"19","浙商期货","76","36","南华期货","52","16","新晟期货","86","2"
"20","兴证期货","72","40","中信建投","48","0","国贸期货","85","0"
"合计","","3,904","2,437","","9,465","104","","8,680","145"
"合约：SF912     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","-","-","-","光大期货","500","0","光大期货","500","0"
"2","-","-","-","德盛期货","2","0","中原期货","3","0"
"3","-","-","-","华安期货","1","0","-","-","-"
"合计","","0","0","","503","0","","503","0"
"合约：SM001     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东证期货","18,838","3,883","中信期货","11,607","-1,309","中信期货","16,474","1,030"
"2","中信期货","18,639","6,091","国投安信期货","8,091","-844","永安期货","9,068","-205"
"3","新湖期货","8,507","274","上海中期","7,642","-1,372","摩根大通","5,223","-598"
"4","徽商期货","8,304","3,177","银河期货","5,844","-887","国投安信期货","4,787","-173"
"5","华泰期货","5,473","2,482","华泰期货","4,490","1,078","宁证期货","4,341","62"
"6","浙商期货","5,072","3,772","弘业期货","4,477","-86","银河期货","4,270","-205"
"7","国泰君安","5,067","1,738","东证期货","2,832","274","上海中期","4,143","-154"
"8","银河期货","4,974","3,188","一德期货","2,809","-366","五矿经易期货","4,093","718"
"9","东吴期货","4,909","1,092","永安期货","2,367","-1,302","弘业期货","3,990","-103"
"10","永安期货","4,807","1,670","五矿经易期货","2,295","-76","国泰君安","3,420","-172"
"11","国投安信期货","4,461","2,768","国泰君安","2,002","143","兴证期货","2,943","-1,138"
"12","华安期货","4,344","743","中信建投","1,944","-378","上海大陆","2,663","697"
"13","方正中期","4,318","2,495","方正中期","1,906","-585","方正中期","2,569","-493"
"14","兴证期货","4,197","1,009","申银万国","1,595","-246","中电投先融","2,418","998"
"15","上海大陆","3,944","2,342","中财期货","1,525","-10","东证期货","2,008","-260"
"16","东方财富","3,918","1,562","中钢期货","1,446","313","华泰期货","1,792","-353"
"17","海通期货","3,854","1,194","宏源期货","1,417","86","长安期货","1,548","-717"
"18","上海中期","3,560","1,825","东海期货","1,380","-7","宏源期货","1,330","-54"
"19","弘业期货","2,917","1,235","瑞达期货","1,260","-1","中金期货","1,314","111"
"20","宏源期货","2,714","-92","美尔雅","1,250","-98","南华期货","1,050","-92"
"合计","","122,817","42,448","","68,179","-5,673","","79,444","-1,101"
"合约：SM005     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东吴期货","1,421","614","中信期货","4,530","14","中信期货","2,588","112"
"2","申银万国","1,107","806","国投安信期货","3,136","-485","国投安信期货","2,540","-64"
"3","新湖期货","1,104","284","弘业期货","1,712","-11","宁证期货","2,025","-60"
"4","徽商期货","814","482","光大期货","953","5","华泰期货","1,997","-24"
"5","国投安信期货","793","-25","中财期货","929","0","弘业期货","1,837","197"
"6","东证期货","718","101","宏源期货","649","-42","五矿经易期货","1,168","69"
"7","弘业期货","662","198","中信建投","614","-20","浙商期货","1,154","-160"
"8","中信期货","608","362","银河期货","581","-7","东海期货","1,090","-15"
"9","东海期货","559","370","中大期货","575","87","国海良时","1,083","-3"
"10","方正中期","522","361","徽商期货","540","-184","美尔雅","921","0"
"11","长安期货","510","503","方正中期","525","-42","华金期货","850","0"
"12","国泰君安","473","373","上海大陆","516","-3","方正中期","674","-328"
"13","华泰期货","470","34","华安期货","487","-80","申银万国","559","-345"
"14","华安期货","443","6","东吴期货","324","-3","长安期货","500","493"
"15","上海大陆","439","42","申银万国","320","-144","中财期货","466","-16"
"16","一德期货","413","84","永安期货","308","-60","一德期货","465","-266"
"17","五矿经易期货","392","-399","安粮期货","306","24","广州期货","301","0"
"18","宁证期货","350","219","上海中期","302","201","建信期货","292","-63"
"19","上海中期","343","202","华信期货","294","21","南华期货","268","-41"
"20","建信期货","339","284","中衍期货","244","-4","国泰君安","242","-7"
"合计","","12,480","4,901","","17,845","-733","","21,020","-521"
"合约：SM912     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","-","-","-","申银万国","1","0","招金期货","1","0"
"合计","","0","0","","1","0","","1","0"
"合约：SR001     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","海通期货","56,299","-34,115","中信期货","15,090","81","中粮期货","23,066","-314"
"2","华泰期货","32,138","-10,398","中粮期货","14,902","-512","光大期货","17,589","112"
"3","东证期货","27,948","-12,578","华泰期货","12,854","-139","创元期货","12,862","17"
"4","中信期货","18,178","-7,250","浙商期货","11,864","104","财达期货","11,392","5"
"5","徽商期货","16,062","-1,327","永安期货","10,208","-2,818","华金期货","11,231","38"
"6","华安期货","15,212","-2,160","东证期货","9,279","26","鲁证期货","11,007","-2"
"7","光大期货","12,278","-6,172","东兴期货","8,034","24","华泰期货","10,512","19"
"8","广发期货","11,676","-5,848","国泰君安","7,248","42","建信期货","9,169","60"
"9","新湖期货","11,227","-2,922","海通期货","7,167","71","东证期货","8,692","16"
"10","宏源期货","9,574","492","兴证期货","7,077","1,359","中信期货","7,493","443"
"11","东方财富","8,809","-2,728","德盛期货","6,309","-60","金瑞期货","6,974","107"
"12","海证期货","8,199","-788","宏源期货","6,244","26","银河期货","5,845","-80"
"13","上海大陆","7,205","2,895","广发期货","5,312","-137","华安期货","5,743","-481"
"14","方正中期","7,095","-4,331","海证期货","4,786","-150","国泰君安","5,643","321"
"15","国贸期货","6,926","-2,260","方正中期","4,525","-1,129","国投安信期货","5,032","-539"
"16","东吴期货","6,797","-4,844","国投安信期货","4,103","-141","东兴期货","4,982","-73"
"17","鲁证期货","6,675","-4,042","光大期货","4,048","-102","宏源期货","4,840","-938"
"18","国泰君安","6,629","-3,466","华信期货","3,515","-44","英大期货","4,397","-88"
"19","银河期货","5,456","-1,117","华联期货","3,469","-52","海通期货","4,110","-1,016"
"20","永安期货","5,242","583","一德期货","3,287","-19","中信建投","3,758","-190"
"合计","","279,625","-102,376","","149,321","-3,570","","174,337","-2,583"
"合约：SR003     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","广发期货","5,572","-4,737","东证期货","4,122","82","东证期货","4,130","83"
