"郑州商品交易所期货持仓排名表(2019-11-18)","","","","","","","","",""
"品种：苹果AP     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"14","东吴期货","8,204","-2,751","银河期货","6,443","-367","东方财富","5,941","-427"
"15","兴证期货","7,843","2,894","宏源期货","6,090","-748","中粮期货","5,579","371"
"16","冠通期货","6,537","4,026","南华期货","5,410","-643","华安期货","5,309","-244"
"17","海通期货","6,338","123","光大期货","5,117","25","申银万国","5,187","424"
"18","东方财富","6,137","1,332","广州期货","4,923","2,392","弘业期货","4,892","363"
"19","中信建投","5,963","2,028","新湖期货","4,437","-970","东吴期货","4,732","-567"
"20","倍特期货","5,757","5,454","中金期货","4,398","-119","新湖期货","4,679","-850"
"合计","","244,813","70,262","","212,479","2,360","","179,767","3,449"
"品种：粳稻JR     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东航期货","0","0","汇鑫期货","2","0","东航期货","2","0"
"2","汇鑫期货","0","0","东航期货","0","0","汇鑫期货","0","0"
"合计","","0","0","","2","0","","2","0"
"品种：晚籼LR     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","新纪元期货","0","0","中信期货","3","0","中州期货","4","0"
"2","中信期货","0","0","新纪元期货","1","0","中辉期货","2","0"
"3","东航期货","0","0","东航期货","1","0","天风期货","1","0"
"4","天风期货","0","0","中辉期货","1","0","新纪元期货","0","0"
"5","中州期货","0","0","南华期货","1","0","中信期货","0","0"
"6","中辉期货","0","0","天风期货","0","0","东航期货","0","0"
"7","南华期货","0","0","中州期货","0","0","南华期货","0","0"
"合计","","0","0","","7","0","","7","0"
"品种：甲醇MA     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东证期货","239,796","-42,011","东证期货","81,923","-16,069","永安期货","165,744","-2,853"
"2","华泰期货","101,583","-23,552","永安期货","40,191","-1,195","东证期货","75,893","-11,151"
